epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6076.22,0.60512,0.59896,1.01839,0.98027,0.95739,0.9846,0.90348,0.3955,0.36938,0.91692,0.005842,0.005842,0.005842
44,6198.16,0.59797,0.60445,1.01515,0.98063,0.9598,0.98585,0.90744,0.38794,0.36506,0.91196,0.005743,0.005743,0.005743
45,6319.69,0.59415,0.59196,1.01041,0.97858,0.96372,0.98592,0.91015,0.38967,0.35951,0.91197,0.005644,0.005644,0.005644
46,6441.76,0.59041,0.58985,1.00916,0.98061,0.96474,0.98673,0.90715,0.39173,0.35556,0.91382,0.005545,0.005545,0.005545
47,6563.43,0.59032,0.58308,1.00823,0.98025,0.96316,0.98683,0.91137,0.37956,0.34927,0.90374,0.005446,0.005446,0.005446
48,6685.19,0.58643,0.57775,0.99993,0.98376,0.96306,0.98671,0.91303,0.37938,0.3489,0.90566,0.005347,0.005347,0.005347
49,6806.66,0.58582,0.57226,1.00526,0.98442,0.96521,0.98798,0.91537,0.37638,0.34529,0.90297,0.005248,0.005248,0.005248
50,6928.73,0.57713,0.56175,0.9975,0.98637,0.96491,0.98829,0.91424,0.3755,0.34068,0.90149,0.005149,0.005149,0.005149
51,7050.47,0.56817,0.55978,0.9903,0.98702,0.96684,0.98865,0.9135,0.37575,0.33787,0.9004,0.00505,0.00505,0.00505
52,7172.49,0.57226,0.55761,0.99356,0.98583,0.96662,0.98886,0.91445,0.37163,0.33551,0.89824,0.004951,0.004951,0.004951
53,7294.1,0.56664,0.56002,0.98977,0.98881,0.97159,0.9894,0.91701,0.36618,0.33029,0.89349,0.004852,0.004852,0.004852
54,7416.33,0.56369,0.54388,0.98708,0.98845,0.9689,0.98948,0.91837,0.36458,0.3284,0.89405,0.004753,0.004753,0.004753
55,7538.56,0.56644,0.5415,0.98947,0.98604,0.97126,0.98963,0.92018,0.36287,0.32425,0.89387,0.004654,0.004654,0.004654
56,7660.63,0.56231,0.53867,0.98836,0.98764,0.97062,0.98969,0.91955,0.36189,0.32218,0.89199,0.004555,0.004555,0.004555
57,7782.28,0.55645,0.53182,0.98246,0.98904,0.97445,0.98993,0.92175,0.35689,0.31893,0.8884,0.004456,0.004456,0.004456
58,7904.39,0.55383,0.52793,0.98185,0.98662,0.97428,0.98994,0.92246,0.35464,0.3162,0.88627,0.004357,0.004357,0.004357
59,8026.41,0.54822,0.52268,0.97783,0.98797,0.97427,0.99031,0.92324,0.35548,0.31389,0.88747,0.004258,0.004258,0.004258
60,8149.28,0.54399,0.51992,0.9754,0.99112,0.9712,0.99059,0.92485,0.35264,0.31192,0.88566,0.004159,0.004159,0.004159
61,8271.91,0.54275,0.51405,0.9752,0.98908,0.97383,0.99056,0.92458,0.35247,0.31005,0.88451,0.00406,0.00406,0.00406
62,8394.34,0.53624,0.51317,0.96441,0.99268,0.97237,0.99092,0.92376,0.35,0.30896,0.88274,0.003961,0.003961,0.003961
63,8516.74,0.5403,0.50585,0.97203,0.99132,0.97505,0.99121,0.92584,0.34838,0.30622,0.88165,0.003862,0.003862,0.003862
64,8638.87,0.52328,0.49739,0.96042,0.99052,0.97894,0.99136,0.92751,0.34516,0.30332,0.87969,0.003763,0.003763,0.003763
65,8761.31,0.53247,0.49938,0.96984,0.99012,0.97827,0.99141,0.92913,0.34268,0.3016,0.87829,0.003664,0.003664,0.003664
66,8883.24,0.5244,0.49565,0.96233,0.98989,0.97731,0.99152,0.92796,0.3405,0.29905,0.87646,0.003565,0.003565,0.003565
67,9005.48,0.51996,0.48392,0.95528,0.98938,0.97709,0.99177,0.92914,0.3385,0.29681,0.87497,0.003466,0.003466,0.003466
68,9127.47,0.51718,0.48657,0.95737,0.98914,0.9792,0.99191,0.93084,0.33459,0.29502,0.87305,0.003367,0.003367,0.003367
69,9249.6,0.51627,0.48031,0.96162,0.9905,0.97759,0.99191,0.93141,0.33425,0.29349,0.87252,0.003268,0.003268,0.003268
70,9371.39,0.51409,0.47655,0.95589,0.99,0.97969,0.99225,0.93227,0.33265,0.29233,0.87153,0.003169,0.003169,0.003169
71,9493.54,0.50638,0.46858,0.94922,0.98819,0.98082,0.99228,0.93346,0.33126,0.28994,0.8702,0.00307,0.00307,0.00307
72,9615.09,0.50483,0.46541,0.94859,0.98832,0.98136,0.99233,0.93387,0.32899,0.28804,0.86887,0.002971,0.002971,0.002971
73,9737.24,0.50259,0.46685,0.95107,0.99092,0.98011,0.99239,0.93472,0.32718,0.28688,0.86785,0.002872,0.002872,0.002872
74,9858.91,0.50165,0.46011,0.94556,0.99102,0.97958,0.99231,0.93489,0.3266,0.28565,0.86733,0.002773,0.002773,0.002773
75,9981.09,0.49423,0.44673,0.94247,0.99081,0.97982,0.9924,0.93478,0.3265,0.28446,0.86682,0.002674,0.002674,0.002674
76,10102.9,0.49648,0.45385,0.94713,0.99076,0.98055,0.99246,0.93551,0.32592,0.2842,0.8666,0.002575,0.002575,0.002575
77,10225.2,0.49013,0.4452,0.943,0.99054,0.98043,0.99255,0.93573,0.32532,0.28136,0.86604,0.002476,0.002476,0.002476
78,10347.6,0.4905,0.45486,0.94006,0.98955,0.981,0.99263,0.93661,0.32337,0.27975,0.86493,0.002377,0.002377,0.002377
79,10469.8,0.48515,0.4388,0.9363,0.98967,0.98097,0.99261,0.93636,0.32234,0.27787,0.86377,0.002278,0.002278,0.002278
80,10591.9,0.48613,0.4423,0.93981,0.98931,0.98251,0.99282,0.93772,0.321,0.27718,0.86296,0.002179,0.002179,0.002179
81,10715.3,0.48108,0.4402,0.93617,0.98853,0.98434,0.99285,0.93815,0.32026,0.27617,0.86253,0.00208,0.00208,0.00208
82,10837.4,0.4776,0.43169,0.93219,0.98714,0.98575,0.99289,0.9388,0.31934,0.27498,0.862,0.001981,0.001981,0.001981
83,10959.6,0.47521,0.42372,0.93402,0.98827,0.98492,0.99294,0.9398,0.318,0.27412,0.86115,0.001882,0.001882,0.001882
84,11081.6,0.47146,0.42384,0.92839,0.99098,0.98283,0.99295,0.93998,0.31711,0.27338,0.86048,0.001783,0.001783,0.001783
85,11203.9,0.4697,0.42367,0.92912,0.98961,0.9841,0.99299,0.94025,0.31645,0.27262,0.85975,0.001684,0.001684,0.001684
86,11326,0.47161,0.42626,0.92397,0.98979,0.98462,0.9928,0.94041,0.31515,0.27211,0.85912,0.001585,0.001585,0.001585
87,11448.2,0.46276,0.41838,0.92265,0.98843,0.98707,0.993,0.94078,0.31476,0.271,0.85853,0.001486,0.001486,0.001486
88,11570.1,0.45806,0.41482,0.92384,0.99069,0.98477,0.99307,0.9412,0.31346,0.27047,0.85801,0.001387,0.001387,0.001387
89,11692.5,0.45241,0.4029,0.91971,0.99058,0.98481,0.9931,0.94118,0.3129,0.27033,0.85761,0.001288,0.001288,0.001288
90,11814.5,0.45107,0.40834,0.91437,0.99041,0.9846,0.99312,0.94161,0.3125,0.26964,0.85723,0.001189,0.001189,0.001189
91,11936.7,0.44974,0.40224,0.91828,0.99061,0.98445,0.99312,0.94184,0.31225,0.26943,0.85695,0.00109,0.00109,0.00109
92,12058.8,0.44768,0.4007,0.9158,0.98963,0.98572,0.99313,0.9415,0.31215,0.2688,0.85661,0.000991,0.000991,0.000991
93,12180.9,0.4458,0.39869,0.91774,0.99035,0.98503,0.99315,0.94117,0.31189,0.26815,0.85621,0.000892,0.000892,0.000892
94,12303,0.44216,0.39352,0.91159,0.99077,0.98504,0.99316,0.9413,0.3116,0.26774,0.85581,0.000793,0.000793,0.000793
95,12424.7,0.43918,0.3919,0.91352,0.99066,0.98528,0.99318,0.94151,0.3109,0.26711,0.8553,0.000694,0.000694,0.000694
96,12546.9,0.43854,0.38728,0.91241,0.9907,0.98545,0.99322,0.94178,0.31042,0.26665,0.85493,0.000595,0.000595,0.000595
97,12668.9,0.42964,0.37862,0.90231,0.99071,0.98566,0.99324,0.94141,0.31002,0.26642,0.8546,0.000496,0.000496,0.000496
98,12791.1,0.42964,0.38032,0.90667,0.99091,0.98542,0.99325,0.94186,0.30966,0.26573,0.85429,0.000397,0.000397,0.000397
99,12913,0.42796,0.37834,0.90559,0.99095,0.98577,0.99326,0.94187,0.30919,0.26512,0.85394,0.000298,0.000298,0.000298
100,13035.1,0.42969,0.38004,0.90406,0.99104,0.98572,0.99328,0.94214,0.30879,0.26512,0.85367,0.000199,0.000199,0.000199
