epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6750.82,0.42701,0.29971,0.84529,0.99136,0.97878,0.99017,0.93458,0.28383,0.18284,0.7977,0.005842,0.005842,0.005842
44,6866.15,0.42925,0.30344,0.84461,0.99239,0.97776,0.98915,0.9391,0.27927,0.17917,0.79668,0.005743,0.005743,0.005743
45,6981.48,0.42134,0.29664,0.84214,0.9927,0.9775,0.98993,0.93872,0.27678,0.17885,0.79551,0.005644,0.005644,0.005644
46,7096.96,0.41639,0.29279,0.84014,0.99316,0.98029,0.99047,0.94194,0.27248,0.1758,0.79464,0.005545,0.005545,0.005545
47,7212.05,0.41507,0.29155,0.83803,0.99406,0.98242,0.99073,0.94417,0.26812,0.17551,0.79416,0.005446,0.005446,0.005446
48,7327.48,0.40747,0.28758,0.83607,0.99019,0.98566,0.99065,0.94417,0.26687,0.17351,0.79344,0.005347,0.005347,0.005347
49,7443.12,0.40612,0.28516,0.83699,0.99325,0.98382,0.99072,0.94698,0.25998,0.16861,0.79178,0.005248,0.005248,0.005248
50,7558.41,0.40356,0.28169,0.83684,0.99216,0.98355,0.99061,0.94577,0.25876,0.16656,0.79161,0.005149,0.005149,0.005149
51,7673.82,0.40068,0.27591,0.83598,0.99429,0.98077,0.99094,0.94641,0.25856,0.16526,0.79061,0.00505,0.00505,0.00505
52,7789.26,0.3984,0.27848,0.83586,0.99153,0.98452,0.99069,0.94786,0.25699,0.16522,0.79053,0.004951,0.004951,0.004951
53,7905.51,0.39601,0.27726,0.83819,0.99155,0.98432,0.99038,0.94672,0.25736,0.16394,0.79063,0.004852,0.004852,0.004852
54,8021.08,0.39264,0.27152,0.8325,0.99054,0.98542,0.99049,0.94772,0.25275,0.16135,0.78959,0.004753,0.004753,0.004753
55,8136.36,0.39222,0.27543,0.8346,0.99521,0.98265,0.99092,0.95046,0.24983,0.1599,0.78958,0.004654,0.004654,0.004654
56,8251.88,0.38932,0.26952,0.83616,0.99468,0.98349,0.99125,0.95119,0.24908,0.15913,0.78923,0.004555,0.004555,0.004555
57,8367.57,0.38256,0.26519,0.83024,0.99271,0.98429,0.99133,0.95083,0.24858,0.15867,0.78895,0.004456,0.004456,0.004456
58,8483.26,0.37975,0.2635,0.82792,0.99281,0.98522,0.99149,0.95186,0.24681,0.15802,0.78848,0.004357,0.004357,0.004357
