epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1868.61,0.92561,5.53872,0.92769,0.31594,0.46975,0.3441,0.26924,0.78311,1.95684,0.89581,0.00332809,0.00332809,0.00332809
2,1959.2,0.88837,3.48243,0.9423,0.66164,0.64067,0.71678,0.57029,0.78537,1.38778,0.93481,0.00659548,0.00659548,0.00659548
3,2048.62,0.92418,2.23265,0.98278,0.80594,0.7304,0.8297,0.66456,0.77176,1.05931,0.95779,0.00979686,0.00979686,0.00979686
4,2137.83,0.90904,1.44368,1.001,0.89405,0.77667,0.88138,0.7078,0.75733,0.86023,0.96344,0.009703,0.009703,0.009703
5,2226.91,0.84888,1.03958,0.98432,0.88275,0.81529,0.89484,0.73402,0.68745,0.776,0.94869,0.009604,0.009604,0.009604
6,2315.73,0.77681,0.887,0.95943,0.92695,0.86311,0.92994,0.78642,0.60871,0.62728,0.91159,0.009505,0.009505,0.009505
7,2404.99,0.75851,0.79768,0.96132,0.93609,0.86399,0.93934,0.79553,0.60233,0.57833,0.9063,0.009406,0.009406,0.009406
8,2493.85,0.72148,0.73437,0.94417,0.96398,0.8863,0.94806,0.81948,0.55353,0.51167,0.88516,0.009307,0.009307,0.009307
9,2582.12,0.69534,0.68116,0.93677,0.96332,0.88465,0.95254,0.82143,0.5473,0.47684,0.89163,0.009208,0.009208,0.009208
10,2670.72,0.67703,0.63732,0.92974,0.95965,0.89536,0.95685,0.83623,0.51205,0.46366,0.88079,0.009109,0.009109,0.009109
11,2759.03,0.66216,0.607,0.93071,0.96603,0.9076,0.96045,0.84073,0.50096,0.41824,0.87124,0.00901,0.00901,0.00901
12,2847.26,0.65572,0.59337,0.9252,0.97408,0.92053,0.96488,0.85038,0.48287,0.40245,0.8649,0.008911,0.008911,0.008911
13,2935.51,0.63627,0.55628,0.91316,0.96682,0.91818,0.96501,0.84963,0.48586,0.39247,0.86602,0.008812,0.008812,0.008812
14,3024.22,0.62777,0.53602,0.9103,0.97278,0.92879,0.96768,0.85247,0.47385,0.37443,0.86468,0.008713,0.008713,0.008713
15,3112.72,0.61914,0.53147,0.91302,0.97039,0.93098,0.97004,0.86356,0.46027,0.36524,0.85977,0.008614,0.008614,0.008614
16,3201.27,0.60601,0.50842,0.90702,0.97862,0.93305,0.97157,0.86598,0.45127,0.35066,0.8543,0.008515,0.008515,0.008515
17,3289.86,0.60053,0.50548,0.90288,0.97225,0.94861,0.97403,0.87239,0.4361,0.33472,0.84944,0.008416,0.008416,0.008416
18,3378.14,0.59639,0.50013,0.90435,0.97906,0.94003,0.97544,0.87458,0.43626,0.33451,0.85369,0.008317,0.008317,0.008317
19,3466.73,0.59538,0.49644,0.90557,0.98072,0.95042,0.97746,0.87464,0.43106,0.32084,0.84876,0.008218,0.008218,0.008218
20,3555.01,0.58615,0.47861,0.89566,0.98234,0.9456,0.97654,0.87816,0.42729,0.32572,0.85109,0.008119,0.008119,0.008119
21,3643.24,0.57471,0.46466,0.89384,0.98218,0.94465,0.9777,0.8785,0.42639,0.30892,0.84502,0.00802,0.00802,0.00802
22,3731.59,0.56569,0.45879,0.89434,0.9844,0.95318,0.98003,0.88914,0.41253,0.30134,0.83867,0.007921,0.007921,0.007921
23,3819.84,0.5682,0.45941,0.89392,0.98334,0.95432,0.98048,0.88477,0.42099,0.29727,0.84592,0.007822,0.007822,0.007822
24,3908.21,0.55563,0.44352,0.88776,0.98141,0.95188,0.98037,0.89411,0.40288,0.28851,0.83754,0.007723,0.007723,0.007723
25,3996.71,0.55175,0.44503,0.88627,0.98735,0.95709,0.98262,0.89058,0.41092,0.28294,0.84212,0.007624,0.007624,0.007624
26,4084.92,0.55253,0.43628,0.88827,0.98319,0.95489,0.98116,0.89739,0.38553,0.27544,0.8324,0.007525,0.007525,0.007525
27,4173.24,0.54442,0.42137,0.88652,0.98808,0.95866,0.98302,0.90206,0.38155,0.26736,0.83077,0.007426,0.007426,0.007426
28,4261.48,0.5339,0.41428,0.88051,0.9894,0.95912,0.98365,0.9043,0.37748,0.26818,0.82766,0.007327,0.007327,0.007327
29,4349.6,0.53371,0.41416,0.8802,0.98898,0.95756,0.98352,0.90037,0.3824,0.26432,0.82978,0.007228,0.007228,0.007228
30,4438,0.53211,0.41178,0.87914,0.98986,0.96393,0.98461,0.90443,0.3743,0.25659,0.82617,0.007129,0.007129,0.007129
31,4526.13,0.52576,0.40573,0.87888,0.99008,0.96569,0.98509,0.90961,0.36667,0.25044,0.82375,0.00703,0.00703,0.00703
32,4614.3,0.51868,0.39761,0.8749,0.98359,0.9699,0.98532,0.9099,0.36454,0.24879,0.82205,0.006931,0.006931,0.006931
33,4702.88,0.51768,0.39747,0.87503,0.986,0.96983,0.98639,0.91471,0.35467,0.24128,0.82086,0.006832,0.006832,0.006832
34,4791.04,0.51185,0.38424,0.86991,0.9887,0.96749,0.98589,0.91699,0.35105,0.23834,0.8199,0.006733,0.006733,0.006733
35,4879.27,0.51101,0.38684,0.87482,0.99202,0.96948,0.98586,0.91739,0.34143,0.23558,0.81755,0.006634,0.006634,0.006634
36,4967.83,0.50212,0.3805,0.86909,0.99098,0.97097,0.9864,0.91833,0.34669,0.23404,0.81722,0.006535,0.006535,0.006535
37,5056.14,0.50115,0.37514,0.8661,0.99135,0.9731,0.98702,0.92046,0.34159,0.23172,0.81709,0.006436,0.006436,0.006436
38,5144.43,0.5028,0.37594,0.86638,0.98681,0.97406,0.98715,0.92126,0.33575,0.22714,0.81321,0.006337,0.006337,0.006337
39,5232.91,0.49519,0.36969,0.86682,0.99108,0.97474,0.98796,0.92588,0.33054,0.22208,0.81247,0.006238,0.006238,0.006238
40,5321.36,0.49141,0.36777,0.86212,0.98832,0.97759,0.98822,0.92548,0.32849,0.22038,0.81163,0.006139,0.006139,0.006139
41,5409.56,0.48869,0.36013,0.86086,0.98951,0.97752,0.98831,0.92594,0.3321,0.22024,0.81248,0.00604,0.00604,0.00604
42,5498.09,0.49031,0.36661,0.86518,0.99037,0.97724,0.9879,0.92796,0.32662,0.21711,0.81056,0.005941,0.005941,0.005941
43,5586.23,0.48565,0.35131,0.86417,0.99312,0.97563,0.98888,0.92948,0.32164,0.21321,0.80977,0.005842,0.005842,0.005842
44,5674.49,0.48255,0.35636,0.86276,0.99389,0.97279,0.98923,0.9284,0.32252,0.21448,0.80964,0.005743,0.005743,0.005743
45,5762.48,0.47975,0.3516,0.86433,0.99148,0.97799,0.98843,0.93154,0.31381,0.21009,0.80794,0.005644,0.005644,0.005644
46,5850.9,0.47392,0.35078,0.85988,0.99264,0.97662,0.98884,0.93225,0.31458,0.20876,0.80738,0.005545,0.005545,0.005545
47,5939.21,0.47232,0.34699,0.85859,0.99086,0.97668,0.9889,0.93246,0.31037,0.20756,0.80547,0.005446,0.005446,0.005446
48,6027.65,0.46869,0.3396,0.85687,0.99178,0.97871,0.98956,0.93296,0.3109,0.20641,0.80618,0.005347,0.005347,0.005347
49,6115.97,0.4711,0.33938,0.85826,0.99474,0.97666,0.98967,0.93616,0.30393,0.20387,0.80371,0.005248,0.005248,0.005248
50,6204.19,0.46152,0.33937,0.8554,0.9909,0.98138,0.98985,0.93577,0.30469,0.20242,0.80299,0.005149,0.005149,0.005149
51,6292.59,0.45814,0.33113,0.85126,0.98933,0.98002,0.98976,0.9358,0.30147,0.20013,0.80176,0.00505,0.00505,0.00505
52,6381.45,0.46141,0.3326,0.85711,0.99071,0.97998,0.98956,0.93755,0.30359,0.20301,0.80307,0.004951,0.004951,0.004951
53,6469.67,0.45482,0.33468,0.85157,0.99289,0.97933,0.98987,0.93783,0.3,0.19784,0.80167,0.004852,0.004852,0.004852
54,6558.08,0.45083,0.32381,0.85257,0.99342,0.97855,0.98997,0.94001,0.29461,0.19503,0.80005,0.004753,0.004753,0.004753
55,6646.43,0.44993,0.32597,0.85109,0.99382,0.98128,0.9901,0.93973,0.29343,0.19415,0.79918,0.004654,0.004654,0.004654
56,6734.81,0.44946,0.322,0.8483,0.99264,0.98063,0.99039,0.94231,0.29128,0.19269,0.79859,0.004555,0.004555,0.004555
57,6823.15,0.44638,0.31777,0.8479,0.99452,0.97993,0.99055,0.94273,0.28894,0.19071,0.79837,0.004456,0.004456,0.004456
58,6911.45,0.44013,0.31648,0.84546,0.9948,0.9797,0.99032,0.94364,0.28682,0.18982,0.79798,0.004357,0.004357,0.004357
59,7000.07,0.44012,0.31015,0.84674,0.99489,0.97914,0.99022,0.94402,0.28523,0.18776,0.79789,0.004258,0.004258,0.004258
60,7088.49,0.43763,0.30959,0.84523,0.99398,0.9823,0.99056,0.94557,0.28124,0.18635,0.79671,0.004159,0.004159,0.004159
61,7176.8,0.43438,0.3058,0.84516,0.9942,0.98254,0.99071,0.94593,0.27938,0.18461,0.79545,0.00406,0.00406,0.00406
62,7265.51,0.42835,0.3022,0.84423,0.99194,0.9834,0.99091,0.94619,0.2798,0.18404,0.79522,0.003961,0.003961,0.003961
63,7353.98,0.4275,0.30022,0.84489,0.993,0.98245,0.99093,0.94666,0.27721,0.18229,0.79527,0.003862,0.003862,0.003862
64,7442.11,0.42461,0.29581,0.83994,0.99465,0.98155,0.99109,0.94727,0.27622,0.18034,0.79408,0.003763,0.003763,0.003763
65,7530.6,0.42624,0.29899,0.84515,0.99332,0.98319,0.99144,0.94754,0.27414,0.17912,0.79352,0.003664,0.003664,0.003664
66,7618.95,0.41873,0.29438,0.8413,0.99491,0.98298,0.99162,0.94884,0.27236,0.1797,0.79334,0.003565,0.003565,0.003565
67,7707.39,0.41765,0.29164,0.83618,0.99299,0.98491,0.99144,0.94933,0.27196,0.17819,0.79311,0.003466,0.003466,0.003466
68,7796.13,0.4149,0.289,0.84186,0.99386,0.98436,0.99125,0.94914,0.26894,0.17585,0.79245,0.003367,0.003367,0.003367
69,7884.49,0.40843,0.28626,0.83478,0.99533,0.98437,0.99135,0.95013,0.26704,0.17498,0.7919,0.003268,0.003268,0.003268
70,7972.74,0.40291,0.27905,0.8336,0.99597,0.98513,0.99165,0.95011,0.26449,0.17349,0.79117,0.003169,0.003169,0.003169
71,8061.25,0.40507,0.28042,0.83656,0.99537,0.98438,0.99203,0.95054,0.26457,0.17295,0.79119,0.00307,0.00307,0.00307
72,8149.48,0.39958,0.27572,0.83593,0.99599,0.98298,0.99175,0.95134,0.26266,0.17309,0.79082,0.002971,0.002971,0.002971
73,8237.8,0.39556,0.27351,0.83232,0.99362,0.98594,0.99204,0.95189,0.26172,0.17166,0.79038,0.002872,0.002872,0.002872
74,8326.31,0.39953,0.27547,0.83447,0.99466,0.98547,0.99193,0.95219,0.25969,0.1706,0.79015,0.002773,0.002773,0.002773
75,8414.58,0.38996,0.26676,0.83236,0.9953,0.98565,0.99208,0.95356,0.25853,0.16925,0.78969,0.002674,0.002674,0.002674
76,8502.97,0.39474,0.27069,0.83428,0.99504,0.98549,0.99186,0.95358,0.2575,0.16902,0.78943,0.002575,0.002575,0.002575
77,8591.22,0.38636,0.26532,0.83011,0.99377,0.98604,0.9921,0.95345,0.25587,0.16915,0.7891,0.002476,0.002476,0.002476
78,8679.64,0.38549,0.26626,0.82928,0.99428,0.98555,0.99193,0.95413,0.25495,0.16757,0.78882,0.002377,0.002377,0.002377
79,8767.95,0.37815,0.26027,0.8288,0.99481,0.98475,0.99175,0.9548,0.2543,0.16704,0.78851,0.002278,0.002278,0.002278
80,8856.22,0.38356,0.26396,0.82844,0.99361,0.98652,0.99205,0.95504,0.2531,0.16692,0.78823,0.002179,0.002179,0.002179
81,8946.35,0.37931,0.26168,0.828,0.99479,0.98548,0.99187,0.95502,0.25272,0.16648,0.78778,0.00208,0.00208,0.00208
82,9034.64,0.372,0.25076,0.82757,0.99357,0.98724,0.99205,0.9553,0.25216,0.16602,0.78748,0.001981,0.001981,0.001981
83,9123.19,0.36885,0.24828,0.82548,0.99341,0.9874,0.99207,0.95645,0.25129,0.16606,0.78716,0.001882,0.001882,0.001882
84,9211.8,0.36923,0.25086,0.82575,0.99402,0.98719,0.99208,0.95662,0.24998,0.16525,0.78685,0.001783,0.001783,0.001783
85,9300.38,0.36402,0.24633,0.82702,0.99477,0.98607,0.99231,0.9566,0.24911,0.1639,0.78663,0.001684,0.001684,0.001684
86,9388.75,0.36752,0.24683,0.82383,0.99393,0.9874,0.99231,0.95701,0.24787,0.16329,0.78622,0.001585,0.001585,0.001585
87,9477.37,0.35711,0.2415,0.82106,0.9943,0.98682,0.99221,0.958,0.24697,0.16291,0.7861,0.001486,0.001486,0.001486
88,9565.79,0.35621,0.23893,0.82387,0.9942,0.98707,0.99215,0.95841,0.24596,0.1621,0.78588,0.001387,0.001387,0.001387
89,9654.22,0.35075,0.23342,0.81779,0.9942,0.98747,0.99229,0.95855,0.24534,0.16149,0.78572,0.001288,0.001288,0.001288
90,9742.92,0.34715,0.23612,0.81809,0.99518,0.98577,0.99229,0.95859,0.24492,0.1615,0.78546,0.001189,0.001189,0.001189
91,9831.07,0.34568,0.23028,0.81934,0.99508,0.98597,0.99229,0.95862,0.24463,0.16078,0.78532,0.00109,0.00109,0.00109
92,9919.63,0.3429,0.22798,0.81665,0.99605,0.98511,0.99242,0.95895,0.2441,0.1606,0.7851,0.000991,0.000991,0.000991
93,10008.1,0.34272,0.22705,0.8202,0.99599,0.98505,0.99245,0.95917,0.24363,0.16066,0.78496,0.000892,0.000892,0.000892
94,10096.7,0.33842,0.2262,0.81719,0.99619,0.98465,0.99245,0.95935,0.24318,0.1596,0.78486,0.000793,0.000793,0.000793
