epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2058.76,3.14017,10.7897,4.17768,0.00198,0.10902,0.00231,0.0008,2.42186,5.30683,3.61646,0.00332809,0.00332809,0.00332809
2,2232.12,1.93863,7.1897,2.45229,0.10527,0.22911,0.07454,0.04726,1.39589,3.05117,1.95034,0.00659548,0.00659548,0.00659548
3,2403.7,1.43168,4.62983,1.81466,0.14471,0.43456,0.15437,0.10912,1.11623,2.76951,1.63793,0.00979686,0.00979686,0.00979686
4,2573.64,1.22929,3.0893,1.59222,0.21329,0.43818,0.22886,0.16684,1.01054,2.27161,1.50062,0.009703,0.009703,0.009703
5,2743.85,1.11984,2.49387,1.48276,0.32766,0.48804,0.36015,0.27776,0.88538,2.09242,1.40192,0.009604,0.009604,0.009604
6,2913.87,1.06018,2.2148,1.43782,0.40917,0.50319,0.46766,0.36335,0.86355,1.78731,1.38978,0.009505,0.009505,0.009505
7,3083.54,1.0248,1.97219,1.42018,0.55295,0.5348,0.57782,0.46382,0.81258,1.53813,1.34912,0.009406,0.009406,0.009406
8,3253.64,0.99262,1.77455,1.38516,0.65444,0.60243,0.65673,0.52017,0.80927,1.40439,1.34124,0.009307,0.009307,0.009307
9,3423.39,0.96252,1.60772,1.35826,0.71022,0.65994,0.73022,0.58763,0.78193,1.23066,1.31776,0.009208,0.009208,0.009208
10,3593.15,0.94065,1.47211,1.3343,0.77135,0.6723,0.75428,0.6025,0.77875,1.13142,1.30996,0.009109,0.009109,0.009109
11,3763.1,0.91736,1.38685,1.32104,0.78336,0.70903,0.79719,0.64747,0.7376,1.07258,1.26238,0.00901,0.00901,0.00901
12,3932.79,0.9011,1.32587,1.29828,0.85606,0.71039,0.83789,0.6758,0.74014,1.00987,1.26253,0.008911,0.008911,0.008911
13,4102.74,0.87816,1.25241,1.28602,0.82603,0.73568,0.83701,0.69212,0.70124,0.95251,1.2375,0.008812,0.008812,0.008812
14,4272.78,0.86433,1.20361,1.26598,0.84096,0.76877,0.85877,0.70551,0.69869,0.90339,1.2306,0.008713,0.008713,0.008713
15,4442.66,0.84213,1.15152,1.2493,0.87039,0.75891,0.86958,0.71689,0.68438,0.87775,1.20453,0.008614,0.008614,0.008614
16,4612.48,0.83309,1.12269,1.23653,0.89501,0.79372,0.89376,0.74589,0.65115,0.80805,1.17023,0.008515,0.008515,0.008515
