epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4253.2,0.48163,0.40807,0.85721,0.99018,0.9576,0.98121,0.91277,0.32326,0.23282,0.80661,0.005842,0.005842,0.005842
44,4327.77,0.47983,0.41137,0.86536,0.98804,0.95946,0.98166,0.91323,0.31678,0.22987,0.80555,0.005743,0.005743,0.005743
45,4402.43,0.4772,0.40804,0.86261,0.98655,0.95981,0.98185,0.91474,0.31238,0.22527,0.80471,0.005644,0.005644,0.005644
46,4477.34,0.4706,0.40104,0.85967,0.98894,0.96137,0.98254,0.91629,0.31097,0.22469,0.80485,0.005545,0.005545,0.005545
47,4552.02,0.46949,0.39709,0.85758,0.99056,0.96129,0.98238,0.91568,0.30808,0.22137,0.80371,0.005446,0.005446,0.005446
48,4626.76,0.4649,0.39101,0.85548,0.98947,0.965,0.98353,0.91916,0.3039,0.21929,0.80255,0.005347,0.005347,0.005347
49,4701.62,0.46071,0.38881,0.85613,0.987,0.96479,0.98388,0.91998,0.30316,0.21692,0.80264,0.005248,0.005248,0.005248
50,4775.99,0.45812,0.38569,0.85586,0.98696,0.96682,0.98343,0.92112,0.29922,0.21459,0.80196,0.005149,0.005149,0.005149
51,4850.62,0.45374,0.38293,0.85391,0.98889,0.96379,0.98391,0.92248,0.29752,0.21052,0.8008,0.00505,0.00505,0.00505
52,4925.38,0.45015,0.37745,0.85143,0.99007,0.96501,0.98359,0.9227,0.29488,0.20939,0.80021,0.004951,0.004951,0.004951
53,4999.55,0.45241,0.37749,0.85399,0.98797,0.96895,0.98446,0.92435,0.29222,0.20685,0.79956,0.004852,0.004852,0.004852
54,5074.3,0.44669,0.37487,0.8516,0.98896,0.96923,0.98432,0.92461,0.28988,0.20595,0.79895,0.004753,0.004753,0.004753
55,5148.88,0.44439,0.37014,0.85121,0.99218,0.96804,0.98475,0.92604,0.28603,0.20308,0.798,0.004654,0.004654,0.004654
56,5223.35,0.44337,0.37584,0.8516,0.98863,0.97058,0.9849,0.92783,0.28398,0.2009,0.79749,0.004555,0.004555,0.004555
57,5298.07,0.4392,0.36493,0.84896,0.98906,0.97013,0.98507,0.92704,0.28328,0.20099,0.79702,0.004456,0.004456,0.004456
58,5372.72,0.43822,0.36939,0.85022,0.98934,0.9699,0.98554,0.92798,0.28159,0.19872,0.79646,0.004357,0.004357,0.004357
59,5447.2,0.44025,0.36444,0.84833,0.98988,0.97019,0.98593,0.92845,0.28038,0.19693,0.79651,0.004258,0.004258,0.004258
60,5521.74,0.43165,0.35958,0.84677,0.98919,0.97309,0.9858,0.92914,0.27878,0.19662,0.79596,0.004159,0.004159,0.004159
